stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
Early Stuart,1948,4,0,0,0.179412,0.018741,0.198153,0.010859,NA
Early Stuart,1949,1,0,0.006218,1.029437,0.001271,1.036926,0.168458,NA
Early Stuart,1950,2,0,0.000579,0.240545,0.000542,0.241666,0.025658,NA
Early Stuart,1951,3,0,0.000009,0.158428,0.015217,0.173654,0.029785,NA
Early Stuart,1952,4,0,0.000028,0.078012,0.01056,0.0886,0.015484,NA
Early Stuart,1953,1,0,0.000294,0.537711,0.002886,0.540891,0.078238,NA
Early Stuart,1954,2,0,0.000341,0.154781,0.000701,0.155823,0.01801,NA
Early Stuart,1955,3,0,0.000011,0.025824,0.001632,0.027467,0.001397,NA
Early Stuart,1956,4,0,0,0.101035,0.006393,0.107428,0.016661,NA
Early Stuart,1957,1,0,0.00073,1.215763,0.003272,1.219765,0.119273,NA
Early Stuart,1958,2,0,0.000755,0.102112,0.00024,0.103107,0.022196,NA
Early Stuart,1959,3,0,0,0.014682,0.006153,0.020835,0.001297,NA
Early Stuart,1960,4,0,0.000022,0.069925,0.004202,0.074149,0.007401,NA
Early Stuart,1961,1,0,0.00063,0.252123,0.002208,0.254961,0.087782,NA
Early Stuart,1962,2,0,0,0.067661,0.005992,0.073653,0.014103,NA
Early Stuart,1963,3,0,0.000332,0.090397,0.001825,0.092554,0.00259,NA
Early Stuart,1964,4,0,0.001027,0.02594,0.012949,0.039916,0.0013,NA
Early Stuart,1965,1,0,0.000432,0.415253,0.001526,0.417211,0.011241,NA
Early Stuart,1966,2,0,0.001746,0.08304,0,0.084786,0.005959,NA
Early Stuart,1967,3,0,0.000423,0.326142,0.013128,0.339693,0.011167,NA
Early Stuart,1968,4,0,0.000011,0.010412,0,0.010423,0.000793,NA
Early Stuart,1969,1,0,0.000648,1.366181,0.004452,1.371281,0.048796,NA
Early Stuart,1970,2,0,0.001212,0.178232,0.001312,0.180756,0.015806,NA
Early Stuart,1971,3,0,0.000311,0.42351,0.006993,0.430814,0.04561,NA
Early Stuart,1972,4,0,0.000025,0.032207,0,0.032232,0.002253,NA
Early Stuart,1973,1,0,0.004591,1.342456,0.003951,1.350998,0.153876,NA
Early Stuart,1974,2,0,0.001242,0.141307,0.002218,0.144767,0.02161,NA
Early Stuart,1975,3,0,0.00015,0.220007,0.002852,0.223009,0.026252,NA
Early Stuart,1976,4,0,0.000043,0.0288,0.003034,0.031877,0.006792,NA
Early Stuart,1977,1,0,0.000572,0.752467,0.008655,0.761694,0.053363,NA
Early Stuart,1978,2,0,0.000202,0.07147,0.00118,0.072852,0.020004,NA
Early Stuart,1979,3,0,0.000034,0.089807,0.017889,0.10773,0.03617,NA
Early Stuart,1980,4,0,0.00001,0.03795,0.025541,0.063501,0.007361,NA
Early Stuart,1981,1,0,0.000046,0.33129,0.018805,0.350141,0.071485,NA
Early Stuart,1982,2,0,0.000013,0.026796,0.001007,0.027816,0.002158,NA
Early Stuart,1983,3,0,0.000423,0.17676,0.010949,0.188132,0.013121,NA
Early Stuart,1984,4,0,0.00024,0.209867,0.029536,0.239643,0.021868,NA
Early Stuart,1985,1,0,0.002414,1.179879,0.026057,1.20835,0.118124,NA
Early Stuart,1986,2,0,0.000056,0.12828,0.017603,0.145939,0.01516,NA
Early Stuart,1987,3,0,0.000008,0.494847,0.031065,0.52592,0.075524,NA
Early Stuart,1988,4,0,0.000033,0.319342,0.059894,0.379269,0.088071,NA
Early Stuart,1989,1,0,0.00042,1.091749,0.045932,1.138101,0.211041,NA
Early Stuart,1990,2,0,0.000002,0.156963,0.009121,0.166086,0.047065,27.908219
Early Stuart,1991,3,0,0.000514,0.129192,0.014581,0.144287,0.085456,56.034423
Early Stuart,1992,4,0,0.00001,0.080797,0.019569,0.100376,0.036565,14.209159
Early Stuart,1993,1,0,0.000847,1.652166,0.16177,1.814783,0.386806,498.394567
Early Stuart,1994,2,0,0.000006,0.02799,0.001034,0.02903,0.014499,12.509636
Early Stuart,1995,3,0,0.00002,0.170595,0.018985,0.1896,0.057342,44.420729
Early Stuart,1996,4,0,0,0.359206,0.10494,0.464146,0.041063,30.930914
Early Stuart,1997,1,0,0.000001,0.109249,0.038121,0.147371,0.073416,30.074781
Early Stuart,1998,2,0,0.000002,0.024341,0.004349,0.028692,0.009332,5.505462
Early Stuart,1999,3,0,0,0.025927,0.004639,0.030566,0.008189,6.104258
Early Stuart,2000,4,0,0,0.132457,0.003417,0.135874,0.035333,35.070706
Early Stuart,2001,1,0,0.000005,0.216279,0.035722,0.252006,0.082852,51.804034
Early Stuart,2002,2,0,0,0.020266,0.0043,0.024566,0.012921,11.603591
Early Stuart,2003,3,0,0,0.008431,0.001588,0.010019,0.006932,6.457973
Early Stuart,2004,4,0,0,0.032387,0.005428,0.037815,0.005181,5.855048
Early Stuart,2005,1,0,0.000049,0.079426048,0.007107278,0.086582326,0.051153,31.630751
Early Stuart,2006,2,NA,NA,NA,NA,NA,0.015914,12.293153
Early Stuart,2007,3,NA,NA,NA,NA,NA,0.002376,1.170443
Early Stuart,2008,4,NA,NA,NA,NA,NA,0.014446,12.212576
Early Stuart,2009,1,NA,NA,NA,NA,NA,0.021884,NA
Early Stuart,2010,2,NA,NA,NA,NA,NA,0.034197,NA
Early Stuart,2011,3,NA,NA,NA,NA,NA,0.000233,NA
Early Stuart,2012,4,NA,NA,NA,NA,NA,0.006812,NA
Late Stuart,1948,4,0,0,0.000327,0,0.000327,NA,NA
Late Stuart,1949,1,0,0.003433,1.526554,0,1.529987,0.039085,NA
Late Stuart,1950,2,0,0.000591,0.036671,0.002419,0.039681,0.001834,NA
Late Stuart,1951,3,0,0,0.056085,0.007559,0.063644,0.001246,NA
Late Stuart,1952,4,0,0.000086,0.003858,0.000029,0.003973,0.000016,NA
Late Stuart,1953,1,0,0.00083,1.548072,0.00147,1.550372,0.078686,NA
Late Stuart,1954,2,0,0.00015,0.135111,0.002704,0.137965,0.002687,NA
Late Stuart,1955,3,0,0.000029,0.050196,0.00112,0.051345,0.003274,NA
Late Stuart,1956,4,0,0,0.013472,0.03263,0.046102,0.000466,NA
Late Stuart,1957,1,0,0.000874,1.327094,0.001916,1.329884,0.300038,NA
Late Stuart,1958,2,0,0.000672,0.053044,0.000961,0.054677,0.013152,NA
Late Stuart,1959,3,0,0.000067,0.006092,0.001233,0.007392,0.00409,NA
Late Stuart,1960,4,0,0.000027,0.006658,0.002932,0.009617,0.001307,NA
Late Stuart,1961,1,0,0.000143,0.770385,0.007535,0.778063,0.194461,NA
Late Stuart,1962,2,0,0.000045,0.043107,0.001917,0.045069,0.009073,NA
Late Stuart,1963,3,0,0.000025,0.011911,0.000113,0.012049,0.001092,NA
Late Stuart,1964,4,0,0.00006,0.001806,0.001235,0.003101,0.000824,NA
Late Stuart,1965,1,0,0.000228,1.102448,0.021752,1.124428,0.122786,NA
Late Stuart,1966,2,0,0.000274,0.071954,0.001851,0.074079,0.004164,NA
Late Stuart,1967,3,0,0.000224,0.006294,0.010038,0.016556,0.000897,NA
Late Stuart,1968,4,0,0,0.027393,0.003906,0.031299,0.000179,NA
Late Stuart,1969,1,0,0.002756,1.602892,0.019888,1.625536,0.1143,NA
Late Stuart,1970,2,0,0.000318,0.07052,0,0.070838,0.008027,NA
Late Stuart,1971,3,0,0.001243,0.065527,0,0.06677,0.000725,NA
Late Stuart,1972,4,0,0,0.01618,0.002586,0.018766,0.003411,NA
Late Stuart,1973,1,0,0.00029,0.658158,0.005807,0.664255,0.116703,NA
Late Stuart,1974,2,0,0.000855,0.048593,0.001268,0.050716,0.007371,NA
Late Stuart,1975,3,0,0.000541,0.214097,0.000478,0.215116,0.005679,NA
Late Stuart,1976,4,0,0,0.003339,0,0.003339,0.001674,NA
Late Stuart,1977,1,0,0.000104,1.313861,0.043776,1.357741,0.075962,NA
Late Stuart,1978,2,0,0.000699,0.06982,0.008928,0.079447,0.007115,NA
Late Stuart,1979,3,0,0,0.006854,0,0.006854,0.016711,NA
Late Stuart,1980,4,0,0,0.02144,0,0.02144,0.000287,NA
Late Stuart,1981,1,0,0,1.97801,0.055891,2.033901,0.120124,NA
Late Stuart,1982,2,0,0.000193,0.052097,0.008699,0.060989,0.008681,NA
Late Stuart,1983,3,0,0,0.014195,0.003717,0.017912,0.001451,NA
Late Stuart,1984,4,0,0.000222,0.014522,0,0.014744,0.000672,NA
Late Stuart,1985,1,0,0.007755,3.367086,0.132788,3.507629,0.159048,NA
Late Stuart,1986,2,0,0.000264,0.725126,0.091171,0.816561,0.015045,NA
Late Stuart,1987,3,0,0.000984,0.283932,0.095155,0.380071,0.002392,NA
Late Stuart,1988,4,0,0.001552,0.207234,0,0.208786,0.003638,NA
Late Stuart,1989,1,0,0.020256,5.162734,0.144134,5.327124,0.327098,NA
Late Stuart,1990,2,0,0.00044,0.372685,0.016654,0.389779,0.111747,NA
Late Stuart,1991,3,0,0.000354,0.091441,0.017786,0.109581,0.0402,NA
Late Stuart,1992,4,0,0,0.12897,0.006429,0.135399,0.012422,NA
Late Stuart,1993,1,0,0.004082,3.249145,0.511029,3.764256,1.184283,NA
Late Stuart,1994,2,0,0,0.108011,0.007429,0.11544,0.040705,NA
Late Stuart,1995,3,0,0.001366,0.092713,0.039375,0.133454,0.017181,NA
Late Stuart,1996,4,0,0.000607,0.810002,0.212391,1.023,0.027297,NA
Late Stuart,1997,1,0,0.000081,0.351715,0.079099,0.430895,0.415149,NA
Late Stuart,1998,2,0,0.000312,0.26439,0.01256,0.277262,0.067834,NA
Late Stuart,1999,3,0,0.000023,0.11752,0.016079,0.133622,0.0338,NA
Late Stuart,2000,4,0,0.001827,0.868657,0.042459,0.912943,0.22624,NA
Late Stuart,2001,1,0,0.000029,0.415504,0.08981,0.505343,0.179534,NA
Late Stuart,2002,2,0,0.00002,0.121483,0.004449,0.125952,0.01782,NA
Late Stuart,2003,3,0,0.000011,0.015962,0.00581,0.021783,0.019208,NA
Late Stuart,2004,4,0,0.00022,0.263681,0.020964128,0.284865128,0.05131,NA
Late Stuart,2005,1,0,0.000089,0.112400115,0.015024909,0.127514024,0.164548,NA
Late Stuart,2006,2,NA,NA,NA,NA,NA,0.014283,NA
Late Stuart,2007,3,NA,NA,NA,NA,NA,0.004144,NA
Late Stuart,2008,4,NA,NA,NA,NA,NA,0.054658,NA
Late Stuart,2009,1,NA,NA,NA,NA,NA,0.043271,NA
Late Stuart,2010,2,NA,NA,NA,NA,NA,0.043476,NA
Late Stuart,2011,3,NA,NA,NA,NA,NA,0.000778,NA
Late Stuart,2012,4,NA,NA,NA,NA,NA,0.031771,NA
Stellako,1948,4,0,0,0.185175,0.022002,0.207177,0.009242,NA
Stellako,1949,1,0,0.000133,0.173402,0.006341,0.179876,0.040231,NA
Stellako,1950,2,0,0.00463,0.903768,0.030719,0.939117,0.07741,NA
Stellako,1951,3,0,0.000026,0.354049,0.101292,0.455367,0.051413,NA
Stellako,1952,4,0,0.000023,0.093984,0.016694,0.110701,0.01992,NA
Stellako,1953,1,0,0.00003,0.156192,0.018023,0.174245,0.020388,NA
Stellako,1954,2,0,0.003311,1.140205,0.067783,1.211299,0.072273,NA
Stellako,1955,3,0,0.000028,0.602677,0.027091,0.629796,0.029937,NA
Stellako,1956,4,0,0.000092,0.2204,0.026243,0.246735,0.021686,NA
Stellako,1957,1,0,0.000008,0.143835,0.008,0.151843,0.018044,NA
Stellako,1958,2,0,0.001156,0.323089,0.016215,0.34046,0.061581,NA
Stellako,1959,3,0,0.000017,0.514918,0.026485,0.54142,0.041872,NA
Stellako,1960,4,0,0.000019,0.14334,0.021155,0.164514,0.022718,NA
Stellako,1961,1,0,0.000288,0.137046,0.010068,0.147402,0.018136,NA
Stellako,1962,2,0,0.0001,0.572029,0.017376,0.589505,0.044532,NA
Stellako,1963,3,0,0.000977,0.713487,0.013462,0.727926,0.041535,NA
Stellako,1964,4,0,0.000194,0.170674,0.006969,0.177837,0.016161,NA
Stellako,1965,1,0,0.000179,0.2311,0.012372,0.243651,0.020479,NA
Stellako,1966,2,0,0.000833,0.336316,0.022757,0.359906,0.051509,NA
Stellako,1967,3,0,0.000288,0.531886,0.01835,0.550524,0.032467,NA
Stellako,1968,4,0,0.000085,0.1259,0.003837,0.129822,0.01368,NA
Stellako,1969,1,0,0.000131,0.235729,0.017385,0.253245,0.025629,NA
Stellako,1970,2,0,0.00117,0.228808,0.00413,0.234108,0.026727,NA
Stellako,1971,3,0,0.000496,0.508759,0,0.509255,0.020147,NA
Stellako,1972,4,0,0.000204,0.711226,0.044784,0.756214,0.019938,NA
Stellako,1973,1,0,0.000011,0.075813,0.010077,0.085901,0.015424,NA
Stellako,1974,2,0,0.001823,0.281752,0.019534,0.303109,0.023718,NA
Stellako,1975,3,0,0.003852,1.832708,0.064645,1.901205,0.068451,NA
Stellako,1976,4,0,0.00015,0.216701,0.027506,0.244357,0.063865,NA
Stellako,1977,1,0,0.000074,0.209138,0.056488,0.2657,0.010894,NA
Stellako,1978,2,0,0.00086,0.388505,0.04804,0.437405,0.032528,NA
Stellako,1979,3,0,0.000031,0.478737,0.145156,0.623924,0.152583,NA
Stellako,1980,4,0,0.000207,0.535944,0.219255,0.755406,0.028477,NA
Stellako,1981,1,0,0.000028,0.234136,0.051734,0.285898,0.01203,NA
Stellako,1982,2,0,0.0019,0.309369,0.046504,0.357773,0.034888,NA
Stellako,1983,3,0,0.001129,1.097744,0.158607,1.25748,0.061357,NA
Stellako,1984,4,0,0.00017,0.744589,0.26643,1.011189,0.032672,NA
Stellako,1985,1,0,0.000087,0.097659,0.030996,0.128742,0.021969,NA
Stellako,1986,2,0,0.000023,0.445398,0.116424,0.561845,0.044564,NA
Stellako,1987,3,0,0.000014,0.353471,0.082191,0.435676,0.098179,NA
Stellako,1988,4,0,0.000158,0.566227,0.425114,0.991499,0.200537,NA
Stellako,1989,1,0,0.000028,0.127212,0.095047,0.222287,0.015903,NA
Stellako,1990,2,0,0.001145,0.861027,0.089664,0.951836,0.056537,NA
Stellako,1991,3,0,0.000259,0.299039,0.037271,0.336569,0.054349,65.55888
Stellako,1992,4,0,0.000275,0.734393,0.133793,0.868461,0.055138,53.022
Stellako,1993,1,0,0.000013,0.068158,0.241673,0.309844,0.042861,49.77
Stellako,1994,2,0,0.000127,0.593409,0.088649,0.682185,0.063584,39.866
Stellako,1995,3,0,0.000075,0.127344,0.05654,0.183959,0.041135,21.233
Stellako,1996,4,0,0.000016,0.635499,0.176479,0.811994,0.167624,36.942
Stellako,1997,1,0,0,0.068515,0.056658,0.125173,0.023241,24.851
Stellako,1998,2,0,0.000073,0.504421,0.133503,0.637997,0.096961,79.02
Stellako,1999,3,0,0,0.143988,0.030474,0.174462,0.06608,24.681
Stellako,2000,4,0,0,0.647582,0.070089,0.717671,0.195386,75.156
Stellako,2001,1,0,0,0.20341,0.083718,0.287128,0.06159,48.435
Stellako,2002,2,0,0.000047,0.224262,0.024066,0.248375,0.177618,60.29
Stellako,2003,3,0,0.000005,0.034522,0.014605,0.049132,0.043829,30.593
Stellako,2004,4,0,0.000153,0.213103,0.032017162,0.245273162,0.053755,NA
Stellako,2005,1,0,0.000012,0.006511965,0.004887042,0.011411007,0.102247,NA
Stellako,2006,2,NA,NA,NA,NA,NA,0.079834,NA
Stellako,2007,3,NA,NA,NA,NA,NA,0.019626,NA
Stellako,2008,4,NA,NA,NA,NA,NA,0.073798,NA
Stellako,2009,1,NA,NA,NA,NA,NA,0.015914,NA
Stellako,2010,2,NA,NA,NA,NA,NA,0.110264,NA
Stellako,2011,3,NA,NA,NA,NA,NA,0.02595,NA
Stellako,2012,4,NA,NA,NA,NA,NA,0.050572,NA
Bowron,1948,4,0,0,0.080266,0,0.080266,0.012826,NA
Bowron,1949,1,0,0.000045,0.062746,0,0.062791,0.010721,NA
Bowron,1950,2,0,0.00055,0.065365,0.009633,0.075548,0.007298,NA
Bowron,1951,3,0,0.000378,0.103443,0,0.103821,0.01004,NA
Bowron,1952,4,0,0.000008,0.036992,0.006304,0.043304,0.008568,NA
Bowron,1953,1,0,0.000003,0.070599,0.004977,0.075579,0.005734,NA
Bowron,1954,2,0,0.000652,0.062971,0.003293,0.066916,0.004566,NA
Bowron,1955,3,0,0.000043,0.092623,0.004289,0.096955,0.004472,NA
Bowron,1956,4,0,0,0.027586,0.01016,0.037746,0.003639,NA
Bowron,1957,1,0,0,0.041008,0.000958,0.041966,0.006416,NA
Bowron,1958,2,0,0.000043,0.017945,0.000167,0.018155,0.008297,NA
Bowron,1959,3,0,0.000011,0.056454,0.0054,0.061865,0.014614,NA
Bowron,1960,4,0,0.000004,0.017278,0.000451,0.017733,0.003506,NA
Bowron,1961,1,0,0,0.026835,0.001313,0.028148,0.003675,NA
Bowron,1962,2,0,0.000006,0.018822,0.002499,0.021327,0.003219,NA
Bowron,1963,3,0,0.000028,0.204973,0.009315,0.214316,0.011467,NA
Bowron,1964,4,0,0,0.025416,0.002091,0.027507,0.00069,NA
Bowron,1965,1,0,0.00005,0.01677,0.001029,0.017849,0.00117,NA
Bowron,1966,2,0,0,0.021196,0.001053,0.022249,0.001151,NA
Bowron,1967,3,0,0.000124,0.193857,0.012513,0.206494,0.013991,NA
Bowron,1968,4,0,0,0.037393,0.00615,0.043543,0.00171,NA
Bowron,1969,1,0,0,0.016003,0.001208,0.017211,0.001936,NA
Bowron,1970,2,0,0.000371,0.015826,0,0.016197,0.000497,NA
Bowron,1971,3,0,0,0.124161,0.000346,0.124507,0.010761,NA
Bowron,1972,4,0,0,0.01686,0.000111,0.016971,0.001969,NA
Bowron,1973,1,0,0,0.010538,0.000124,0.010662,0.002012,NA
Bowron,1974,2,0,0,0.015702,0.001729,0.017431,0.001046,NA
Bowron,1975,3,0,0.000122,0.121742,0.000634,0.122498,0.014735,NA
Bowron,1976,4,0,0,0.007112,0,0.007112,0.001069,NA
Bowron,1977,1,0,0,0.005875,0.009521,0.015396,0.001214,NA
Bowron,1978,2,0,0,0.039903,0.000724,0.040627,0.001678,NA
Bowron,1979,3,0,0,0.015714,0.01427,0.029984,0.016178,NA
Bowron,1980,4,0,0,0.039381,0.005789,0.04517,0.001376,NA
Bowron,1981,1,0,0,0.014724,0.001808,0.016532,0.000562,NA
Bowron,1982,2,0,0,0.003066,0.002211,0.005277,0.00099,NA
Bowron,1983,3,0,0.000017,0.036597,0.001535,0.038149,0.003484,NA
Bowron,1984,4,0,0.000012,0.044712,0.005879,0.050603,0.004909,NA
Bowron,1985,1,0,0,0.016449,0.002728,0.019177,0.00303,NA
Bowron,1986,2,0,0,0.020562,0.000636,0.021198,0.001396,NA
Bowron,1987,3,0,0.000132,0.018171,0.004289,0.022592,0.00566,NA
Bowron,1988,4,0,0,0.011669,0.001381,0.01305,0.007405,NA
Bowron,1989,1,0,0,0.004945,0.007897,0.012842,0.001367,NA
Bowron,1990,2,0,0,0.018847,0.012283,0.03113,0.005065,NA
Bowron,1991,3,0,0.000114,0.047542,0.001083,0.048739,0.00246,NA
Bowron,1992,4,0,0.000014,0.010556,0.002313,0.012883,0.001117,NA
Bowron,1993,1,0,0,0.016961,0.003506,0.020467,0.000592,NA
Bowron,1994,2,0,0,0.006743,0.004106,0.010849,0.001845,NA
Bowron,1995,3,0,0.00004,0.025092,0.002259,0.027391,0.013467,NA
Bowron,1996,4,0,0,0.020695,0.006081,0.026776,0.004055,NA
Bowron,1997,1,0,0,0.001335,0.003689,0.005024,0.002119,NA
Bowron,1998,2,0,0,0.011272,0.005729,0.017001,0.00283,NA
Bowron,1999,3,0,0,0.019734,0,0.019734,0.003295,NA
Bowron,2000,4,0,0,0.023887,0.001396,0.025283,0.00672,NA
Bowron,2001,1,0,0,0.004433,0.002392,0.006825,0.002752,NA
Bowron,2002,2,0,0,0.007279,0.000395,0.007674,0.004505,NA
Bowron,2003,3,0,0,0.003702,0.00009,0.003792,0.003038,NA
Bowron,2004,4,0,0,0.003008,0.003065281,0.006073281,0.000458,NA
Bowron,2005,1,0,0,0.001865823,0.000375913,0.002241736,0.000866,NA
Bowron,2006,2,NA,NA,NA,NA,NA,0.000636,NA
Bowron,2007,3,NA,NA,NA,NA,NA,0.001075,NA
Bowron,2008,4,NA,NA,NA,NA,NA,0.000275,NA
Bowron,2009,1,NA,NA,NA,NA,NA,0.001009,NA
Bowron,2010,2,NA,NA,NA,NA,NA,0.004359,NA
Bowron,2011,3,NA,NA,NA,NA,NA,0.002037,NA
Bowron,2012,4,NA,NA,NA,NA,NA,0.00003,NA
Raft,1948,4,0,0,0.062653,0.000684,0.063337,0.005524,NA
Raft,1949,1,0,0,0.036748,0.002878,0.039626,0.002109,NA
Raft,1950,2,0,0.000017,0.039549,0.00599,0.045556,0.001917,NA
Raft,1951,3,0,0.000008,0.034636,0.013009,0.047653,0.003364,NA
Raft,1952,4,0,0.000005,0.046167,0.00501,0.051182,0.005116,NA
Raft,1953,1,0,0,0.030285,0.001839,0.032124,0.0036,NA
Raft,1954,2,0,0.000231,0.038964,0.011293,0.050488,0.005352,NA
Raft,1955,3,0,0.000007,0.052497,0.00786,0.060364,0.002905,NA
Raft,1956,4,0,0,0.017335,0.008029,0.025364,0.005179,NA
Raft,1957,1,0,0.000072,0.018932,0.002011,0.021015,0.003314,NA
Raft,1958,2,0,0.000023,0.022591,0.000512,0.023126,0.006235,NA
Raft,1959,3,0,0,0.020417,0.003167,0.023584,0.005232,NA
Raft,1960,4,0,0.000064,0.014715,0.002049,0.016828,0.002252,NA
Raft,1961,1,0,0.000032,0.022139,0.002154,0.024325,0.003014,NA
Raft,1962,2,0,0,0.037568,0.002981,0.040549,0.004197,NA
Raft,1963,3,0,0.000018,0.00909,0.000265,0.009373,0.002693,NA
Raft,1964,4,0,0.000081,0.040283,0.008228,0.048592,0.002666,NA
Raft,1965,1,0,0.000073,0.018867,0.001686,0.020626,0.002669,NA
Raft,1966,2,0,0.00032,0.020483,0.002736,0.023539,0.002666,NA
Raft,1967,3,0,0.000037,0.008226,0.001395,0.009658,0.000358,NA
Raft,1968,4,0,0.000098,0.100888,0.005411,0.106397,0.003455,NA
Raft,1969,1,0,0.000381,0.010279,0.00371,0.01437,0.002577,NA
Raft,1970,2,0,0.000037,0.0083,0.000523,0.00886,0.001205,NA
Raft,1971,3,0,0.000033,0.00957,0.002116,0.011719,0.000223,NA
Raft,1972,4,0,0.000087,0.056973,0.000761,0.057821,0.004507,NA
Raft,1973,1,0,0.000022,0.001616,0.007723,0.009361,0.001345,NA
Raft,1974,2,0,0.000206,0.011541,0.000476,0.012223,0.001479,NA
Raft,1975,3,0,0.000007,0.005632,0.000797,0.006436,0.001391,NA
Raft,1976,4,0,0.000056,0.018539,0.001331,0.019926,0.003976,NA
Raft,1977,1,0,0,0.002728,0.003189,0.005917,0.000198,NA
Raft,1978,2,0,0.000253,0.011888,0.006562,0.018703,0.001343,NA
Raft,1979,3,0,0,0.001183,0.001856,0.003039,0.000693,NA
Raft,1980,4,0,0.000112,0.047827,0.003784,0.051723,0.002056,NA
Raft,1981,1,0,0.000029,0.007366,0.001244,0.008639,0.000312,NA
Raft,1982,2,0,0,0.002509,0.001233,0.003742,0.001533,NA
